timestamp_utc,ip,cpu_percent
2026-02-05T15:54:31+00:00,192.168.56.20,
2026-02-05T15:54:31+00:00,192.168.56.21,
2026-02-05T15:55:06+00:00,192.168.56.20,
2026-02-05T15:55:06+00:00,192.168.56.21,
2026-02-05T15:55:42+00:00,192.168.56.20,
2026-02-05T15:55:42+00:00,192.168.56.21,
2026-02-05T15:56:16+00:00,192.168.56.20,
2026-02-05T15:56:16+00:00,192.168.56.21,
2026-02-05T15:56:51+00:00,192.168.56.20,
2026-02-05T15:56:51+00:00,192.168.56.21,
2026-02-05T15:57:27+00:00,192.168.56.20,
2026-02-05T15:57:27+00:00,192.168.56.21,
2026-02-05T15:58:01+00:00,192.168.56.20,
2026-02-05T15:58:01+00:00,192.168.56.21,
2026-02-05T15:58:36+00:00,192.168.56.20,
2026-02-05T15:58:36+00:00,192.168.56.21,
2026-02-05T15:59:10+00:00,192.168.56.20,
2026-02-05T15:59:10+00:00,192.168.56.21,
2026-02-05T15:59:45+00:00,192.168.56.20,
2026-02-05T15:59:45+00:00,192.168.56.21,
2026-02-05T16:00:20+00:00,192.168.56.20,
2026-02-05T16:00:20+00:00,192.168.56.21,
2026-02-05T16:00:54+00:00,192.168.56.20,
2026-02-05T16:00:54+00:00,192.168.56.21,
2026-02-05T16:01:28+00:00,192.168.56.20,
2026-02-05T16:01:28+00:00,192.168.56.21,
2026-02-05T16:02:03+00:00,192.168.56.20,
2026-02-05T16:02:03+00:00,192.168.56.21,
2026-02-05T16:02:38+00:00,192.168.56.20,
2026-02-05T16:02:38+00:00,192.168.56.21,
2026-02-05T16:03:12+00:00,192.168.56.20,
2026-02-05T16:03:12+00:00,192.168.56.21,
2026-02-05T16:03:47+00:00,192.168.56.20,
2026-02-05T16:03:47+00:00,192.168.56.21,
2026-02-05T16:04:22+00:00,192.168.56.20,
2026-02-05T16:04:22+00:00,192.168.56.21,
2026-02-05T16:04:57+00:00,192.168.56.20,
2026-02-05T16:04:57+00:00,192.168.56.21,
2026-02-05T16:05:31+00:00,192.168.56.20,
2026-02-05T16:05:31+00:00,192.168.56.21,
2026-02-05T16:06:07+00:00,192.168.56.20,
2026-02-05T16:06:07+00:00,192.168.56.21,
2026-02-05T16:06:42+00:00,192.168.56.20,
2026-02-05T16:06:42+00:00,192.168.56.21,
2026-02-05T16:07:16+00:00,192.168.56.20,
2026-02-05T16:07:16+00:00,192.168.56.21,
2026-02-06T14:24:13+00:00,192.168.56.20,
2026-02-06T14:24:13+00:00,192.168.56.21,
2026-02-06T14:24:48+00:00,192.168.56.20,
2026-02-06T14:24:48+00:00,192.168.56.21,
2026-02-06T14:25:23+00:00,192.168.56.20,
2026-02-06T14:25:23+00:00,192.168.56.21,
2026-02-06T14:25:58+00:00,192.168.56.20,
2026-02-06T14:25:58+00:00,192.168.56.21,
2026-02-06T14:26:34+00:00,192.168.56.20,
2026-02-06T14:26:34+00:00,192.168.56.21,
2026-02-06T14:27:09+00:00,192.168.56.20,
2026-02-06T14:27:09+00:00,192.168.56.21,
2026-02-06T14:27:44+00:00,192.168.56.20,
2026-02-06T14:27:44+00:00,192.168.56.21,
2026-02-06T14:28:18+00:00,192.168.56.20,
2026-02-06T14:28:18+00:00,192.168.56.21,
2026-02-06T14:28:53+00:00,192.168.56.20,
2026-02-06T14:28:53+00:00,192.168.56.21,
2026-02-06T14:29:28+00:00,192.168.56.20,
2026-02-06T14:29:28+00:00,192.168.56.21,
2026-02-06T14:30:03+00:00,192.168.56.20,
2026-02-06T14:30:03+00:00,192.168.56.21,
2026-02-06T14:30:38+00:00,192.168.56.20,
2026-02-06T14:30:38+00:00,192.168.56.21,
2026-02-06T14:31:12+00:00,192.168.56.20,
2026-02-06T14:31:12+00:00,192.168.56.21,
2026-02-06T14:31:47+00:00,192.168.56.20,
2026-02-06T14:31:47+00:00,192.168.56.21,
2026-02-06T14:32:22+00:00,192.168.56.20,
2026-02-06T14:32:22+00:00,192.168.56.21,
2026-02-06T14:32:57+00:00,192.168.56.20,
2026-02-06T14:32:57+00:00,192.168.56.21,
2026-04-13T17:39:06+00:00,192.168.56.20,
2026-04-13T17:39:06+00:00,192.168.56.21,
2026-04-13T17:39:36+00:00,192.168.56.20,
2026-04-13T17:39:36+00:00,192.168.56.21,
2026-04-13T17:40:06+00:00,192.168.56.20,
2026-04-13T17:40:06+00:00,192.168.56.21,
2026-04-13T17:40:36+00:00,192.168.56.20,
2026-04-13T17:40:36+00:00,192.168.56.21,
2026-04-14T09:51:25+00:00,192.168.56.20,
2026-04-14T09:51:25+00:00,192.168.56.21,
2026-04-14T09:51:56+00:00,192.168.56.20,
2026-04-14T09:51:56+00:00,192.168.56.21,
2026-04-14T09:52:26+00:00,192.168.56.20,
2026-04-14T09:52:26+00:00,192.168.56.21,
2026-04-14T09:52:56+00:00,192.168.56.20,
2026-04-14T09:52:56+00:00,192.168.56.21,
2026-04-14T09:53:26+00:00,192.168.56.20,
2026-04-14T09:53:26+00:00,192.168.56.21,
2026-04-14T09:53:56+00:00,192.168.56.20,
2026-04-14T09:53:56+00:00,192.168.56.21,
2026-04-14T09:54:26+00:00,192.168.56.20,
2026-04-14T09:54:26+00:00,192.168.56.21,
2026-04-14T09:54:56+00:00,192.168.56.20,
2026-04-14T09:54:56+00:00,192.168.56.21,
2026-04-14T09:55:26+00:00,192.168.56.20,
2026-04-14T09:55:26+00:00,192.168.56.21,
2026-04-14T09:55:56+00:00,192.168.56.20,
2026-04-14T09:55:56+00:00,192.168.56.21,
2026-04-14T09:56:26+00:00,192.168.56.20,
2026-04-14T09:56:26+00:00,192.168.56.21,
2026-04-14T09:56:56+00:00,192.168.56.20,
2026-04-14T09:56:56+00:00,192.168.56.21,
2026-04-14T09:57:26+00:00,192.168.56.20,
2026-04-14T09:57:26+00:00,192.168.56.21,
2026-04-14T09:57:56+00:00,192.168.56.20,
2026-04-14T09:57:56+00:00,192.168.56.21,
2026-04-14T09:58:26+00:00,192.168.56.20,
2026-04-14T09:58:26+00:00,192.168.56.21,
2026-04-14T09:58:56+00:00,192.168.56.20,
2026-04-14T09:58:56+00:00,192.168.56.21,
2026-04-14T09:59:26+00:00,192.168.56.20,
2026-04-14T09:59:26+00:00,192.168.56.21,
2026-04-14T09:59:56+00:00,192.168.56.20,
2026-04-14T09:59:56+00:00,192.168.56.21,
2026-04-14T10:00:26+00:00,192.168.56.20,
2026-04-14T10:00:26+00:00,192.168.56.21,
2026-04-14T10:00:56+00:00,192.168.56.20,
2026-04-14T10:00:56+00:00,192.168.56.21,
2026-04-14T10:01:26+00:00,192.168.56.20,
2026-04-14T10:01:26+00:00,192.168.56.21,
2026-04-14T10:01:56+00:00,192.168.56.20,
2026-04-14T10:01:56+00:00,192.168.56.21,
2026-04-14T10:02:26+00:00,192.168.56.20,
2026-04-14T10:02:26+00:00,192.168.56.21,
2026-04-14T10:02:56+00:00,192.168.56.20,
2026-04-14T10:02:56+00:00,192.168.56.21,
2026-04-14T10:03:26+00:00,192.168.56.20,
2026-04-14T10:03:26+00:00,192.168.56.21,
2026-04-14T10:03:56+00:00,192.168.56.20,
2026-04-14T10:03:56+00:00,192.168.56.21,
2026-04-14T10:04:26+00:00,192.168.56.20,
2026-04-14T10:04:26+00:00,192.168.56.21,
2026-04-14T10:04:56+00:00,192.168.56.20,
2026-04-14T10:04:56+00:00,192.168.56.21,
2026-04-14T10:05:26+00:00,192.168.56.20,
2026-04-14T10:05:26+00:00,192.168.56.21,
2026-04-14T10:05:56+00:00,192.168.56.20,
2026-04-14T10:05:56+00:00,192.168.56.21,
2026-04-14T10:06:26+00:00,192.168.56.20,
2026-04-14T10:06:26+00:00,192.168.56.21,
2026-04-14T10:06:56+00:00,192.168.56.20,
2026-04-14T10:06:56+00:00,192.168.56.21,
2026-04-14T10:07:26+00:00,192.168.56.20,
2026-04-14T10:07:26+00:00,192.168.56.21,
2026-04-14T10:07:56+00:00,192.168.56.20,
2026-04-14T10:07:56+00:00,192.168.56.21,
2026-04-14T10:08:26+00:00,192.168.56.20,
2026-04-14T10:08:26+00:00,192.168.56.21,
2026-04-14T10:08:56+00:00,192.168.56.20,
2026-04-14T10:08:56+00:00,192.168.56.21,
2026-04-14T10:09:26+00:00,192.168.56.20,
2026-04-14T10:09:26+00:00,192.168.56.21,
2026-04-14T10:09:56+00:00,192.168.56.20,
2026-04-14T10:09:56+00:00,192.168.56.21,
2026-04-14T10:10:26+00:00,192.168.56.20,
2026-04-14T10:10:26+00:00,192.168.56.21,
2026-04-14T10:10:56+00:00,192.168.56.20,
2026-04-14T10:10:56+00:00,192.168.56.21,
2026-04-14T10:11:26+00:00,192.168.56.20,
2026-04-14T10:11:26+00:00,192.168.56.21,
2026-04-14T10:11:56+00:00,192.168.56.20,
2026-04-14T10:11:56+00:00,192.168.56.21,
2026-04-14T10:12:26+00:00,192.168.56.20,
2026-04-14T10:12:26+00:00,192.168.56.21,
2026-04-14T10:12:56+00:00,192.168.56.20,
2026-04-14T10:12:56+00:00,192.168.56.21,
2026-04-14T10:13:26+00:00,192.168.56.20,
2026-04-14T10:13:26+00:00,192.168.56.21,
2026-04-14T10:13:56+00:00,192.168.56.20,
2026-04-14T10:13:56+00:00,192.168.56.21,
2026-04-14T10:14:26+00:00,192.168.56.20,
2026-04-14T10:14:26+00:00,192.168.56.21,
2026-04-14T10:14:56+00:00,192.168.56.20,
2026-04-14T10:14:56+00:00,192.168.56.21,
2026-04-14T10:15:26+00:00,192.168.56.20,
2026-04-14T10:15:26+00:00,192.168.56.21,
2026-04-14T10:15:56+00:00,192.168.56.20,
2026-04-14T10:15:56+00:00,192.168.56.21,
2026-04-14T10:16:26+00:00,192.168.56.20,
2026-04-14T10:16:26+00:00,192.168.56.21,
2026-04-14T10:16:56+00:00,192.168.56.20,
2026-04-14T10:16:56+00:00,192.168.56.21,
2026-04-14T10:17:26+00:00,192.168.56.20,
2026-04-14T10:17:26+00:00,192.168.56.21,
2026-04-14T10:17:56+00:00,192.168.56.20,
2026-04-14T10:17:56+00:00,192.168.56.21,
2026-04-14T10:18:26+00:00,192.168.56.20,
2026-04-14T10:18:26+00:00,192.168.56.21,
2026-04-14T10:18:56+00:00,192.168.56.20,
2026-04-14T10:18:56+00:00,192.168.56.21,
2026-04-14T10:19:26+00:00,192.168.56.20,
2026-04-14T10:19:26+00:00,192.168.56.21,
2026-04-14T10:19:56+00:00,192.168.56.20,
2026-04-14T10:19:56+00:00,192.168.56.21,
2026-04-14T10:20:26+00:00,192.168.56.20,
2026-04-14T10:20:26+00:00,192.168.56.21,
2026-04-14T10:20:56+00:00,192.168.56.20,
2026-04-14T10:20:56+00:00,192.168.56.21,
2026-04-14T10:21:26+00:00,192.168.56.20,
2026-04-14T10:21:26+00:00,192.168.56.21,
2026-04-14T10:21:56+00:00,192.168.56.20,
2026-04-14T10:21:56+00:00,192.168.56.21,
2026-04-14T10:22:26+00:00,192.168.56.20,
2026-04-14T10:22:26+00:00,192.168.56.21,
2026-04-14T10:22:56+00:00,192.168.56.20,
2026-04-14T10:22:56+00:00,192.168.56.21,
2026-04-14T10:23:26+00:00,192.168.56.20,
2026-04-14T10:23:26+00:00,192.168.56.21,
2026-04-14T10:23:56+00:00,192.168.56.20,
